itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
229327,activity intolerance  ncp - expected outcomes,ai ncp - expected outcomes,chartevents,care plans,,text,,
228945,infection ncp - goal,infection ncp - goal,chartevents,care plans,,text,,
228999,discharge ncp - outcomes met,discharge ncp - outcomes met,chartevents,care plans,,text,,
229143,metabolic disturbance ncp - expected outcomes,metabolic disturbance ncp - expected outcomes,chartevents,care plans,,text,,
229148,metabolic disturbance ncp - problem resolved,metabolic disturbance ncp - problem resolved,chartevents,care plans,,text,,
228903,altered respiratory status ncp - goal,ars ncp - goal,chartevents,care plans,,text,,
228905,altered respiratory status ncp - interventions,ars ncp - interventions,chartevents,care plans,,text,,
229001,self harm ncp - expected outcomes,self harm ncp - expected outcomes,chartevents,care plans,,text,,
229112,self harm ncp - plan revised,self harm ncp - plan revised,chartevents,care plans,,text,,
229152,palliative care ncp - interventions,palliative care ncp - interventions,chartevents,care plans,,text,,
229333,activity intolerance ncp - plan revised,ai ncp - plan revised,chartevents,care plans,,text,,
229343,domestic violence ncp - plan revised,dv ncp - plan revised,chartevents,care plans,,text,,
228943,infection ncp - expected outcomes,infection ncp - expected outcomes,chartevents,care plans,,text,,
228975,altered mental status  ncp - goal,ams ncp - goal,chartevents,care plans,,text,,
229118,sensory disturbance ncp - interventions,sensory disturbance ncp - interventions,chartevents,care plans,,text,,
229347,impaired mobility  ncp - interventions,im ncp - interventions,chartevents,care plans,,text,,
229646,stroke ncp - plan revised,stroke ncp - plan revised,chartevents,care plans,,text,,
228898,impaired fluid balance ncp - interventions,ifb ncp - interventions,chartevents,care plans,,text,,
228955,coping/knowledge deficit  ncp - goal,ckd ncp - goal,chartevents,care plans,,text,,
228988,safety restraints ncp - interventions,safety restraints ncp - interventions,chartevents,care plans,,text,,
228964,nutrition  ncp - goal,nutrition ncp - goal,chartevents,care plans,,text,,
229097,discharge ncp - problem resolved,discharge ncp - problem resolved,chartevents,care plans,,text,,
229128,altered sensory perception ncp - plan revised,asp ncp - plan revised,chartevents,care plans,,text,,
229138,substance withdrawal ncp - interventions,substance withdrawal ncp - interventions,chartevents,care plans,,text,,
228971,nutrition ncp - body needs,nutrition ncp - body needs,chartevents,care plans,,text,,
229005,self harm ncp - outcomes met,self harm ncp - outcomes met,chartevents,care plans,,text,,
229141,substance withdrawal ncp - problem resolved,substance withdrawal ncp - problem resolved,chartevents,care plans,,text,,
228993,discharge ncp - expected outcomes,discharge ncp - expected outcomes,chartevents,care plans,,text,,
229134,elimination ncp - interventions,elimination ncp - interventions,chartevents,care plans,,text,,
229980,covid ncp - problem resolved,covid ncp - problem resolved,chartevents,care plans,,text,,
228928,impaired tissue perfusion ncp - interventions,itp ncp - interventions,chartevents,care plans,,text,,
228933,post-op care ncp - expected outcomes,post-op care ncp - expected outcomes,chartevents,care plans,,text,,
229113,self harm ncp - problem resolved,self harm ncp - problem resolved,chartevents,care plans,,text,,
228890,pain ncp - interventions,pain ncp - interventions,chartevents,care plans,,text,,
228907,altered respiratory status ncp - outcomes met,ars ncp - outcomes met,chartevents,care plans,,text,,
228888,pain ncp - expected outcomes,pain ncp - expected outcomes,chartevents,care plans,,text,,
229095,coping/knowledge deficit  ncp - problem resolved,ckd ncp - problem resolved,chartevents,care plans,,text,,
229332,activity intolerance  ncp - outcomes met,ai ncp - outcomes met,chartevents,care plans,,text,,
229647,stroke ncp - problem,stroke ncp - problem,chartevents,care plans,,text,,
228895,impaired fluid balance ncp - goal,ifb ncp - goal,chartevents,care plans,,text,,
228947,infection ncp - interventions,infection ncp - interventions,chartevents,care plans,,text,,
229115,sensory disturbance ncp - problem resolved,sensory disturbance ncp - problem resolved,chartevents,care plans,,text,,
228939,post-op care ncp - outcomes met,post-op care ncp - outcomes met,chartevents,care plans,,text,,
229093,altered skin integrity ncp - problem resolved,asi ncp - problem resolved,chartevents,care plans,,text,,
229370,acuity workload question 2,acuity workload question 2,chartevents,care plans,,text,,
229644,stroke ncp - expected outcomes,stroke ncp - expected outcomes,chartevents,care plans,,text,,
228911,altered skin integrity ncp - expected outcomes,asi ncp - expected outcomes,chartevents,care plans,,text,,
228924,impaired tissue perfusion ncp - expected outcomes,itp ncp - expected outcomes,chartevents,care plans,,text,,
228953,coping/knowledge deficit  ncp - expected outcomes,ckd ncp - expected outcomes,chartevents,care plans,,text,,
228959,coping/knowledge deficit  ncp - outcomes met,ckd ncp - outcomes met,chartevents,care plans,,text,,
228983,safety restraints ncp - expected outcomes,safety restraints ncp - expected outcomes,chartevents,care plans,,text,,
229096,discharge ncp - plan revised,discharge ncp - plan revised,chartevents,care plans,,text,,
229092,altered skin integrity ncp - plan revised,asi ncp - plan revised,chartevents,care plans,,text,,
229337,domestic violence ncp - expected outcomes,dv ncp - expected outcomes,chartevents,care plans,,text,,
228962,nutrition  ncp - expected outcomes,nutrition ncp - expected outcomes,chartevents,care plans,,text,,
229150,palliative care ncp - expected outcomes,palliative care ncp - expected outcomes,chartevents,care plans,,text,,
228990,safety restraints ncp - outcomes met,safety restraints ncp - outcomes met,chartevents,care plans,,text,,
228995,discharge ncp - goal,discharge ncp - goal,chartevents,care plans,,text,,
229103,infection ncp - problem resolved,infection ncp - problem resolved,chartevents,care plans,,text,,
228889,pain ncp - outcomes met,pain ncp - outcomes met,chartevents,care plans,,text,,
229099,impaired fluid balance ncp - problem resolved,ifb ncp - problem resolved,chartevents,care plans,,text,,
229341,domestic violence ncp - outcomes met,dv ncp - outcomes met,chartevents,care plans,,text,,
229979,covid ncp - plan revised,covid ncp - plan revised,chartevents,care plans,,text,,
228914,altered skin integrity ncp - interventions,asi ncp - interventions,chartevents,care plans,,text,,
229140,substance withdrawal ncp - plan revised,substance withdrawal ncp - plan revised,chartevents,care plans,,text,,
228930,impaired tissue perfusion ncp - outcomes met,itp ncp - outcomes met,chartevents,care plans,,text,,
229098,impaired fluid balance ncp - plan revised,ifb ncp - plan revised,chartevents,care plans,,text,,
229101,impaired tissue perfusion ncp - problem resolved,itp ncp - problem resolved,chartevents,care plans,,text,,
229154,palliative care ncp - plan revised,palliative care ncp - plan revised,chartevents,care plans,,text,,
228897,impaired fluid balance ncp - outcomes met,ifb ncp - outcomes met,chartevents,care plans,,text,,
228902,altered respiratory status ncp - expected outcomes,ars ncp - expected outcomes,chartevents,care plans,,text,,
229155,palliative care ncp - problem resolved,palliative care ncp - problem resolved,chartevents,care plans,,text,,
228886,pain ncp - goal,pain ncp - goal,chartevents,care plans,,text,,
229105,nutrition  ncp - problem resolved,nutrition ncp - problem resolved,chartevents,care plans,,text,,
229656,stroke ncp - water swallow deferred,stroke ncp - water swallow deferred,chartevents,care plans,,text,,
229122,elimination ncp - problem resolved,elimination ncp - problem resolved,chartevents,care plans,,text,,
229334,activity intolerance  ncp - problem resolved,ai ncp - problem resolved,chartevents,care plans,,text,,
229650,stroke ncp - water swallow,stroke ncp - water swallow,chartevents,care plans,,text,,
228894,impaired fluid balance ncp - expected outcomes,ifb ncp - expected outcomes,chartevents,care plans,,text,,
228937,post-op care ncp - interventions,post-op care ncp - interventions,chartevents,care plans,,text,,
229116,sensory disturbance ncp - plan revised,sensory disturbance ncp - plan revised,chartevents,care plans,,text,,
228916,altered skin integrity ncp - outcomes met,asi ncp - outcomes met,chartevents,care plans,,text,,
229109,post-op care ncp - problem resolved,post-op care ncp - problem resolved,chartevents,care plans,,text,,
229003,self harm ncp - interventions,self harm ncp - interventions,chartevents,care plans,,text,,
229100,impaired tissue perfusion ncp - plan revised,itp ncp - plan revised,chartevents,care plans,,text,,
229106,pain ncp - plan revised,pain ncp - plan revised,chartevents,care plans,,text,,
229107,pain ncp - problem resolved,pain ncp - problem resolved,chartevents,care plans,,text,,
229133,elimination ncp - expected outcomes,elimination ncp - expected outcomes,chartevents,care plans,,text,,
229975,covid ncp - expected outcomes,covid ncp - expected outcomes,chartevents,care plans,,text,,
228926,impaired tissue perfusion ncp - goal,itp ncp - goal,chartevents,care plans,,text,,
228957,coping/knowledge deficit  ncp - interventions,ckd ncp - interventions,chartevents,care plans,,text,,
229090,altered respiratory status ncp - plan revised,ars ncp - plan revised,chartevents,care plans,,text,,
229350,impaired mobility ncp - plan revised,im ncp - plan revised,chartevents,care plans,,text,,
228949,infection ncp - outcomes met,infection ncp - outcomes met,chartevents,care plans,,text,,
228979,altered mental status  ncp - outcomes met,ams ncp - outcomes met,chartevents,care plans,,text,,
