itemid,label,fluid,category
50901,centromere,blood,chemistry
50992,thyroid peroxidase antibodies,blood,chemistry
51566,beta,blood,chemistry
51584,chylomicrons,blood,chemistry
51599,d,blood,chemistry
51744,toxoplasma igm ab value,blood,chemistry
50890,c3,blood,chemistry
50916,dhea-sulfate,blood,chemistry
50935,haptoglobin,blood,chemistry
51593,copper,blood,chemistry
51606,digitoxin,blood,chemistry
51668,hsap,blood,chemistry
53138,(albumin),blood,chemistry
50864,alpha-fetoprotein,blood,chemistry
50938,hepatitis a virus igm antibody,blood,chemistry
50959,macro prolactin,blood,chemistry
50967,phenytoin,blood,chemistry
50995,"thyroxine (t4), free",blood,chemistry
51646,hemoglobin  f,blood,chemistry
51706,problem specimen,blood,chemistry
51714,reflex hiv confirmation,blood,chemistry
51764,ee7,blood,chemistry
51769,rubiggv,blood,chemistry
51771,,blood,chemistry
53145,anti-gbm antibody,blood,chemistry
50862,albumin,blood,chemistry
50911,"creatine kinase, mb isoenzyme",blood,chemistry
50969,"phenytoin, percent free",blood,chemistry
51721,reverse t3,blood,chemistry
51731,single stranded dna,blood,chemistry
53132,absolute lymphocyte count,blood,chemistry
50982,sex hormone binding globulin,blood,chemistry
51565,argon,blood,chemistry
51746,transferrin saturation,blood,chemistry
50859,"acid phosphatase, non-prostatic",blood,chemistry
50878,asparate aminotransferase (ast),blood,chemistry
50912,creatinine,blood,chemistry
50957,lithium,blood,chemistry
50985,study tubes,blood,chemistry
50990,theophylline,blood,chemistry
51006,urea nitrogen,blood,chemistry
51608,dirlst,blood,chemistry
51698,no md,blood,chemistry
52546,creatinine,blood,chemistry
50867,amylase,blood,chemistry
50906,"cholesterol, ldl, measured",blood,chemistry
50939,"hepatitis b core antibody, igm",blood,chemistry
51003,troponin t,blood,chemistry
51652,high-sensitivity crp,blood,chemistry
51675,inr(pt),blood,chemistry
51730,serum folate,blood,chemistry
51758,xylose,blood,chemistry
53130,4t,blood,chemistry
50892,ca-125,blood,chemistry
50970,phosphate,blood,chemistry
51556,anti-microsomal antibodies,blood,chemistry
51574,c1 inhibitor,blood,chemistry
51607,"dimeric inhibin a, maternal screen",blood,chemistry
51691,mcv,blood,chemistry
50875,anti-parietal cell antibody,blood,chemistry
51008,valproic acid,blood,chemistry
51570,"bilirubin, neonatal, indirect",blood,chemistry
51616,epstein-barr virus igg ab value,blood,chemistry
51723,rubella,blood,chemistry
51739,total co2,blood,chemistry
52642,troponin i,blood,chemistry
53148,anti hbe,blood,chemistry
50891,c4,blood,chemistry
50943,hepatitis c virus antibody,blood,chemistry
50947,i,blood,chemistry
51642,hemoglobin  a1,blood,chemistry
51728,serum b12,blood,chemistry
52535,chloride,blood,chemistry
53135,"acid phosphatase, prostatic fraction",blood,chemistry
53151,anti-la,blood,chemistry
50855,absolute hemoglobin,blood,chemistry
50919,edta hold,blood,chemistry
50963,ntprobnp,blood,chemistry
50996,"tissue transglutaminase ab, iga",blood,chemistry
51579,ca 19-9,blood,chemistry
51626,free kappa/free lambda ratio,blood,chemistry
51705,primidone,blood,chemistry
51715,renin,blood,chemistry
51754,vzv igg ab value,blood,chemistry
50924,ferritin,blood,chemistry
50932,gray top hold (plasma),blood,chemistry
50956,lipase,blood,chemistry
50989,"testosterone, free",blood,chemistry
51563,anti-sm,blood,chemistry
51587,cmv igg ab value,blood,chemistry
51600,delete,blood,chemistry
51653,hiv 1 ab confirmation,blood,chemistry
51719,reserved3,blood,chemistry
53134,absolute other wbc,blood,chemistry
50873,anti-nuclear antibody,blood,chemistry
50880,benzodiazepine screen,blood,chemistry
50889,c-reactive protein,blood,chemistry
50920,estimated gfr (mdrd equation),blood,chemistry
51558,antirnp,blood,chemistry
51619,epstein-barr virus vca igg ab,blood,chemistry
51665,hpe9,blood,chemistry
51736,stx5,blood,chemistry
51605,delta/dlt,blood,chemistry
51679,lap,blood,chemistry
51684,"ld, isoenzyme 5",blood,chemistry
51703,pepgel,blood,chemistry
51753,vzv igg ab,blood,chemistry
52551,d-dimer,blood,chemistry
53089,"bilirubin, total",blood,chemistry
53139,aldosterone,blood,chemistry
50909,cortisol,blood,chemistry
50910,creatine kinase (ck),blood,chemistry
50951,immunoglobulin m,blood,chemistry
51586,cmv igg ab,blood,chemistry
51630,gamma,blood,chemistry
51662,hpe6,blood,chemistry
51701,"osmolality, calculated",blood,chemistry
51702,park,blood,chemistry
53133,absolute neutrophil,blood,chemistry
51002,troponin i,blood,chemistry
51624,free calcium,blood,chemistry
51639,hematocrit,blood,chemistry
51644,hemoglobin  c,blood,chemistry
51663,hpe7,blood,chemistry
52548,cryoglobulin,blood,chemistry
53149,anti-hbs,blood,chemistry
50988,testosterone,blood,chemistry
51571,billed,blood,chemistry
51654,hiv 1 viral load,blood,chemistry
53085,albumin,blood,chemistry
53093,gamma glutamyltranferase,blood,chemistry
50961,methotrexate,blood,chemistry
51655,hiv 2 ab confirmation,blood,chemistry
51666,h. pylori igg ab,blood,chemistry
51718,reserved1,blood,chemistry
51765,ee3,blood,chemistry
53136,adrenocorticotrophic hormone,blood,chemistry
50872,anti-neutrophil cytoplasmic antibody,blood,chemistry
50903,cholesterol ratio (total/hdl),blood,chemistry
50962,n-acetylprocainamide (napa),blood,chemistry
51001,triiodothyronine (t3),blood,chemistry
51671,ifegel,blood,chemistry
53131,5' nucleotidase,blood,chemistry
50934,h,blood,chemistry
50937,hepatitis a virus antibody,blood,chemistry
51614,epstein-barr virus  ebna igg ab,blood,chemistry
51674,immunoglobulin e,blood,chemistry
51737,stx6,blood,chemistry
51747,treponemal antibody test,blood,chemistry
51760,z,blood,chemistry
51768,ee6,blood,chemistry
53152,hiv final,blood,chemistry
50853,25-oh vitamin d,blood,chemistry
50856,acetaminophen,blood,chemistry
50929,gentamicin,blood,chemistry
51588,cmv igm ab,blood,chemistry
51591,confirmation,blood,chemistry
51595,"creatine kinase, isoenzyme mb",blood,chemistry
51603,delete,blood,chemistry
51661,hpe5,blood,chemistry
51677,k (green),blood,chemistry
51727,send out,blood,chemistry
53095,lyme vsie/pepc10 antibody,blood,chemistry
51954,cdt027,stool,chemistry
51945,norovirus genogroup i,stool,chemistry
51953,voided specimen,stool,chemistry
51928,alpha-1,stool,chemistry
51934,c diff toxin antigen assay,stool,chemistry
51941,"glucose, stool",stool,chemistry
51931,beta,stool,chemistry
51937,"creatinine, stool",stool,chemistry
51064,"potassium, stool",stool,chemistry
51926,(albumin),stool,chemistry
51951,"urea nitrogen, stool",stool,chemistry
51061,"bicarbonate, stool",stool,chemistry
51947,o & p,stool,chemistry
51063,"osmolality, stool",stool,chemistry
51925,72 hr fat,stool,chemistry
51952,"uric acid, stool",stool,chemistry
51062,"chloride, stool",stool,chemistry
51065,"sodium, stool",stool,chemistry
51935,"cholesterol, stool",stool,chemistry
51938,cryptococ,stool,chemistry
51933,c. diff pcr,stool,chemistry
51930,"amylase, stool",stool,chemistry
51948,sudan stain,stool,chemistry
51946,norovirus genogroup ii,stool,chemistry
51950,"triglycerides, stool",stool,chemistry
51944,"lactate dehydrogenase, stool",stool,chemistry
51929,alpha-2,stool,chemistry
51940,gamma,stool,chemistry
51942,"igg, stool",stool,chemistry
51943,"immunoelectrophoresis, stool",stool,chemistry
51936,clostrid,stool,chemistry
51927,"albumin, stool",stool,chemistry
51955,,stool,chemistry
51932,"bilirubin, total, stool",stool,chemistry
51949,"total protein, stool",stool,chemistry
51956,cdt027,stool,chemistry
51939,fl scan,stool,chemistry
51983,"iron, urine",urine,chemistry
51097,"potassium, urine",urine,chemistry
51967,blood,urine,chemistry
51976,"cortisol, urine",urine,chemistry
51070,"albumin/creatinine, urine",urine,chemistry
51988,o & p,urine,chemistry
52016,z,urine,chemistry
52019,pan2,urine,chemistry
51091,"myoglobin, urine",urine,chemistry
51073,"amylase/creatinine ratio, urine",urine,chemistry
51081,"creatinine, serum",urine,chemistry
51079,"cocaine, urine",urine,chemistry
51995,study urine,urine,chemistry
52004,utx1,urine,chemistry
51098,"prot. electrophoresis, urine",urine,chemistry
51986,neisseria gonorrhoeae,urine,chemistry
51071,"amphetamine screen, urine",urine,chemistry
51072,"amylase, urine",urine,chemistry
51086,"immunofixation, urine",urine,chemistry
51987,nitrite,urine,chemistry
52006,utx3,urine,chemistry
52014,voided specimen,urine,chemistry
51066,24 hr calcium,urine,chemistry
51957,17-hydroxycorticosteroids,urine,chemistry
51989,oxycodone,urine,chemistry
52017,"zinc, urine",urine,chemistry
51994,specific gravity,urine,chemistry
51069,"albumin, urine",urine,chemistry
51991,"propoxyphene, urine",urine,chemistry
51102,"total protein, urine",urine,chemistry
52013,vanillylmandelic acid,urine,chemistry
51084,"glucose, urine",urine,chemistry
51089,marijuana,urine,chemistry
51966,bilirubin,urine,chemistry
51984,ketone,urine,chemistry
51998,upepgel,urine,chemistry
51083,"ethanol, urine",urine,chemistry
51104,"urea nitrogen, urine",urine,chemistry
51960,aldolase,urine,chemistry
51972,chlamydia trachomatis,urine,chemistry
51974,"copper, urine",urine,chemistry
52008,utx5,urine,chemistry
52015,xylose,urine,chemistry
52018,pan1,urine,chemistry
51095,"phosphate, urine",urine,chemistry
52007,utx4,urine,chemistry
51999,urine amylase,urine,chemistry
51080,creatinine clearance,urine,chemistry
51100,"sodium, urine",urine,chemistry
51968,camp,urine,chemistry
52730,ph,urine,chemistry
51090,"methadone, urine",urine,chemistry
51093,"osmolality, urine",urine,chemistry
51068,24 hr protein,urine,chemistry
52009,utx6,urine,chemistry
52012,utx9,urine,chemistry
51096,porphobilinogen screen,urine,chemistry
51959,"5-hiaa, urine",urine,chemistry
52703,"albumin, urine",urine,chemistry
51067,24 hr creatinine,urine,chemistry
51087,length of urine collection,urine,chemistry
51106,urine creatinine,urine,chemistry
51105,"uric acid, urine",urine,chemistry
51971,ccoc,urine,chemistry
52720,"hcg, urine, qualitative",urine,chemistry
52020,utx10,urine,chemistry
51980,fentanyl,urine,chemistry
51996,trichomonas vaginalis,urine,chemistry
51078,"chloride, urine",urine,chemistry
51103,uhold,urine,chemistry
51978,dirlist,urine,chemistry
51981,glucose,urine,chemistry
51076,"bicarbonate, urine",urine,chemistry
51088,"magnesium, urine",urine,chemistry
51092,"opiate screen, urine",urine,chemistry
51074,"barbiturate screen, urine",urine,chemistry
51964,"amylase, serum",urine,chemistry
51973,copi,urine,chemistry
52002,urobilinogen,urine,chemistry
51101,total collection time,urine,chemistry
51982,"immunoelectrophoresis, urine",urine,chemistry
51099,protein/creatinine ratio,urine,chemistry
51109,"urine volume, total",urine,chemistry
51969,"catecholamines, urine",urine,chemistry
51977,"creatinine, blood",urine,chemistry
51997,uifegel,urine,chemistry
51970,cben,urine,chemistry
51993,referred,urine,chemistry
51107,"urine tube, held",urine,chemistry
51958,"17-ketosteroids, urine",urine,chemistry
51962,alpha-2,urine,chemistry
52005,utx2,urine,chemistry
51075,"benzodiazepine screen, urine",urine,chemistry
51992,protein,urine,chemistry
51961,alpha-1,urine,chemistry
51963,amylase/creatinine clearance,urine,chemistry
51965,beta,urine,chemistry
51985,leukocytes,urine,chemistry
51979,"estriol, urine",urine,chemistry
51990,"phenothiazine screen, urine",urine,chemistry
51085,"hcg, urine, qualitative",urine,chemistry
52000,urine  creatinine,urine,chemistry
52003,uroporphyrins,urine,chemistry
51094,ph,urine,chemistry
51108,urine volume,urine,chemistry
52011,utx8,urine,chemistry
51082,"creatinine, urine",urine,chemistry
52010,utx7,urine,chemistry
51077,"calcium, urine",urine,chemistry
51975,coproporphyrins,urine,chemistry
52001,"urine pep, gamma region",urine,chemistry
50839,"chloride, ascites",ascites,chemistry
50846,"osmolality, ascites",ascites,chemistry
50838,"bilirubin, total, ascites",ascites,chemistry
53123,"immunoelectrophoresis, ascites",ascites,chemistry
50845,"miscellaneous, ascites",ascites,chemistry
50844,"lipase, ascites",ascites,chemistry
50847,"potassium, ascites",ascites,chemistry
53117,alpha-1,ascites,chemistry
50837,"bicarbonate, ascites",ascites,chemistry
53118,alpha-2,ascites,chemistry
53120,clostrid,ascites,chemistry
50851,"urea nitrogen, ascites",ascites,chemistry
53119,beta,ascites,chemistry
53126,"uric acid, ascites",ascites,chemistry
50841,"creatinine, ascites",ascites,chemistry
50840,"cholesterol, ascites",ascites,chemistry
50835,"albumin, ascites",ascites,chemistry
53121,cryptococ,ascites,chemistry
53116,(albumin),ascites,chemistry
53122,fl scan,ascites,chemistry
50848,"sodium, ascites",ascites,chemistry
50849,"total protein, ascites",ascites,chemistry
53124,"immunoglobulin g, ascites",ascites,chemistry
50836,"amylase, ascites",ascites,chemistry
50850,"triglycerides, ascites",ascites,chemistry
50843,"lactate dehydrogenase, ascites",ascites,chemistry
53125,"pep, ascites, gamma region",ascites,chemistry
50842,"glucose, ascites",ascites,chemistry
53127,voided specimen,ascites,chemistry
51910,(albumin),pleural,chemistry
51052,"creatinine, pleural",pleural,chemistry
51915,cryptococ,pleural,chemistry
51046,"albumin, pleural",pleural,chemistry
51913,beta,pleural,chemistry
51048,"bicarbonate, pleural",pleural,chemistry
51047,"amylase, pleural",pleural,chemistry
51051,"cholesterol, pleural",pleural,chemistry
51055,"lipase, pleural",pleural,chemistry
51056,"miscellaneous, pleural",pleural,chemistry
51920,"pep, pleural, gamma region",pleural,chemistry
51911,alpha-1,pleural,chemistry
51918,"immunoglobulin g, pleural",pleural,chemistry
51060,"triglycerides, pleural",pleural,chemistry
51050,"chloride, pleural",pleural,chemistry
51919,"osmolality, pleural",pleural,chemistry
51058,"sodium, pleural",pleural,chemistry
51921,"probnp, pleural",pleural,chemistry
51912,alpha-2,pleural,chemistry
51923,"uric acid, pleural",pleural,chemistry
51049,"bilirubin, total, pleural",pleural,chemistry
51059,"total protein, pleural",pleural,chemistry
51914,clostrid,pleural,chemistry
51054,"lactate dehydrogenase, pleural",pleural,chemistry
51917,"immunoelectrophoresis, pleural",pleural,chemistry
51057,"potassium, pleural",pleural,chemistry
51916,fl scan,pleural,chemistry
51924,voided specimen,pleural,chemistry
51053,"glucose, pleural",pleural,chemistry
51922,"urea nitrogen, pleural",pleural,chemistry
51828,voided specimen,bone marrow,chemistry
51809,alpha-2,joint fluid,chemistry
51810,beta,joint fluid,chemistry
51812,"bilirubin, total, joint fluid",joint fluid,chemistry
51824,"triglycerides, joint fluid",joint fluid,chemistry
51814,"cholesterol, joint fluid",joint fluid,chemistry
51023,"ld, joint fluid",joint fluid,chemistry
51816,cryptococ,joint fluid,chemistry
51825,"urea nitrogen, joint fluid",joint fluid,chemistry
51019,"albumin, joint fluid",joint fluid,chemistry
51020,"amylase, joint fluid",joint fluid,chemistry
51024,"total protein, joint fluid",joint fluid,chemistry
51807,(albumin),joint fluid,chemistry
51815,clostrid,joint fluid,chemistry
51826,"uric acid, joint fluid",joint fluid,chemistry
51808,alpha-1,joint fluid,chemistry
51823,"sodium, joint fluid",joint fluid,chemistry
51818,"igg, joint fluid",joint fluid,chemistry
51022,"glucose, joint fluid",joint fluid,chemistry
51822,"potassium, joint fluid",joint fluid,chemistry
51819,"immunoelectrophoresis, joint fluid",joint fluid,chemistry
51821,"pep, joint fluid, gamma region",joint fluid,chemistry
51813,"chloride, joint fluid",joint fluid,chemistry
51817,fl scan,joint fluid,chemistry
51820,"osmolality, joint fluid",joint fluid,chemistry
51827,voided specimen,joint fluid,chemistry
51021,"creatinine, joint fluid",joint fluid,chemistry
51811,"bicarbonate,joint fluid",joint fluid,chemistry
51840,beta,other body fluid,chemistry
51861,"immunoelectrophoresis, fluid",other body fluid,chemistry
51869,"influenza a, rapid antigen",other body fluid,chemistry
51894,"strep a, rapid antigen",other body fluid,chemistry
51025,"albumin, body fluid",other body fluid,chemistry
51858,hiv 1 viral load,other body fluid,chemistry
51882,o & p,other body fluid,chemistry
51865,influenza a by pcr,other body fluid,chemistry
51841,"blood, occult",other body fluid,chemistry
51876,"l/s ratio, amniotic fluid",other body fluid,chemistry
51877,mrsa pcr,other body fluid,chemistry
51838,alpha-2,other body fluid,chemistry
